API名称,语言,SDK变更版本,影响版本,标题,代码位置,修复状态,变更类型
"declare function animateTo(value: AnimateParam, event: () => void): void",ArkTS,5.0.1(13) Release,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-b112#%E5%8A%A8%E7%94%BB%E6%8E%A5%E5%8F%A3%E5%9C%A8%E6%92%AD%E6%94%BE%E6%AC%A1%E6%95%B0%E4%B8%BA%E6%97%A0%E9%99%90%E5%BE%AA%E7%8E%AF%E6%97%B6%E7%9A%84%E8%A1%8C%E4%B8%BA%E5%8F%98%E6%9B%B4"",""动画接口在播放次数为无限循环时的行为变更"")",default\src\main\ets\form_cards\ABCDCard.ets:70,已修复,接口行为变更
"declare function animateTo(value: AnimateParam, event: () => void): void",ArkTS,5.0.1(13) Release,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-b112#%E5%8A%A8%E7%94%BB%E6%8E%A5%E5%8F%A3%E5%9C%A8%E6%92%AD%E6%94%BE%E6%AC%A1%E6%95%B0%E4%B8%BA%E6%97%A0%E9%99%90%E5%BE%AA%E7%8E%AF%E6%97%B6%E7%9A%84%E8%A1%8C%E4%B8%BA%E5%8F%98%E6%9B%B4"",""动画接口在播放次数为无限循环时的行为变更"")",default\src\main\ets\form_cards\BlessingMuyuCard.ets:45,已修复,接口行为变更
"declare function animateTo(value: AnimateParam, event: () => void): void",ArkTS,5.0.1(13) Release,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-b112#%E5%8A%A8%E7%94%BB%E6%8E%A5%E5%8F%A3%E5%9C%A8%E6%92%AD%E6%94%BE%E6%AC%A1%E6%95%B0%E4%B8%BA%E6%97%A0%E9%99%90%E5%BE%AA%E7%8E%AF%E6%97%B6%E7%9A%84%E8%A1%8C%E4%B8%BA%E5%8F%98%E6%9B%B4"",""动画接口在播放次数为无限循环时的行为变更"")",default\src\main\ets\form_cards\BlessingMuyuCard.ets:47,已修复,接口行为变更
"declare function animateTo(value: AnimateParam, event: () => void): void",ArkTS,5.0.1(13) Release,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-b112#%E5%8A%A8%E7%94%BB%E6%8E%A5%E5%8F%A3%E5%9C%A8%E6%92%AD%E6%94%BE%E6%AC%A1%E6%95%B0%E4%B8%BA%E6%97%A0%E9%99%90%E5%BE%AA%E7%8E%AF%E6%97%B6%E7%9A%84%E8%A1%8C%E4%B8%BA%E5%8F%98%E6%9B%B4"",""动画接口在播放次数为无限循环时的行为变更"")",default\src\main\ets\form_cards\FlipCoinCard.ets:37,已修复,接口行为变更
"declare function animateTo(value: AnimateParam, event: () => void): void",ArkTS,5.0.1(13) Release,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-b112#%E5%8A%A8%E7%94%BB%E6%8E%A5%E5%8F%A3%E5%9C%A8%E6%92%AD%E6%94%BE%E6%AC%A1%E6%95%B0%E4%B8%BA%E6%97%A0%E9%99%90%E5%BE%AA%E7%8E%AF%E6%97%B6%E7%9A%84%E8%A1%8C%E4%B8%BA%E5%8F%98%E6%9B%B4"",""动画接口在播放次数为无限循环时的行为变更"")",default\src\main\ets\sub_pages\blessing_muyu\BlessingMuyu.ets:309,已修复,接口行为变更
"declare function animateTo(value: AnimateParam, event: () => void): void",ArkTS,5.0.1(13) Release,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-b112#%E5%8A%A8%E7%94%BB%E6%8E%A5%E5%8F%A3%E5%9C%A8%E6%92%AD%E6%94%BE%E6%AC%A1%E6%95%B0%E4%B8%BA%E6%97%A0%E9%99%90%E5%BE%AA%E7%8E%AF%E6%97%B6%E7%9A%84%E8%A1%8C%E4%B8%BA%E5%8F%98%E6%9B%B4"",""动画接口在播放次数为无限循环时的行为变更"")",default\src\main\ets\sub_pages\blessing_muyu\BlessingMuyu.ets:316,已修复,接口行为变更
"declare function animateTo(value: AnimateParam, event: () => void): void",ArkTS,5.0.1(13) Release,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-b112#%E5%8A%A8%E7%94%BB%E6%8E%A5%E5%8F%A3%E5%9C%A8%E6%92%AD%E6%94%BE%E6%AC%A1%E6%95%B0%E4%B8%BA%E6%97%A0%E9%99%90%E5%BE%AA%E7%8E%AF%E6%97%B6%E7%9A%84%E8%A1%8C%E4%B8%BA%E5%8F%98%E6%9B%B4"",""动画接口在播放次数为无限循环时的行为变更"")",default\src\main\ets\sub_pages\blessing_muyu\BlessingMuyu.ets:321,已修复,接口行为变更
"declare function animateTo(value: AnimateParam, event: () => void): void",ArkTS,5.0.1(13) Release,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-b112#%E5%8A%A8%E7%94%BB%E6%8E%A5%E5%8F%A3%E5%9C%A8%E6%92%AD%E6%94%BE%E6%AC%A1%E6%95%B0%E4%B8%BA%E6%97%A0%E9%99%90%E5%BE%AA%E7%8E%AF%E6%97%B6%E7%9A%84%E8%A1%8C%E4%B8%BA%E5%8F%98%E6%9B%B4"",""动画接口在播放次数为无限循环时的行为变更"")",default\src\main\ets\sub_pages\blessing_muyu\BlessingMuyu_V2.ets:183,已修复,接口行为变更
"declare function animateTo(value: AnimateParam, event: () => void): void",ArkTS,5.0.1(13) Release,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-b112#%E5%8A%A8%E7%94%BB%E6%8E%A5%E5%8F%A3%E5%9C%A8%E6%92%AD%E6%94%BE%E6%AC%A1%E6%95%B0%E4%B8%BA%E6%97%A0%E9%99%90%E5%BE%AA%E7%8E%AF%E6%97%B6%E7%9A%84%E8%A1%8C%E4%B8%BA%E5%8F%98%E6%9B%B4"",""动画接口在播放次数为无限循环时的行为变更"")",default\src\main\ets\sub_pages\blessing_muyu\BlessingMuyu_V2.ets:186,已修复,接口行为变更
"declare function animateTo(value: AnimateParam, event: () => void): void",ArkTS,5.0.1(13) Release,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-b112#%E5%8A%A8%E7%94%BB%E6%8E%A5%E5%8F%A3%E5%9C%A8%E6%92%AD%E6%94%BE%E6%AC%A1%E6%95%B0%E4%B8%BA%E6%97%A0%E9%99%90%E5%BE%AA%E7%8E%AF%E6%97%B6%E7%9A%84%E8%A1%8C%E4%B8%BA%E5%8F%98%E6%9B%B4"",""动画接口在播放次数为无限循环时的行为变更"")",default\src\main\ets\sub_pages\blessing_muyu\BlessingMuyu_V2.ets:218,已修复,接口行为变更
